Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,3973529.06,167944.55,582252.30,1791,0,1995,0,3882,0,391,0,26,0.8704673778628298,3516
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,12098082.99,281594.95,102920.00,3500,0,1231,0,7660,0,1289,0,40,0.9367098374409227,10356
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1415172.47,18255.42,5930.00,380,0,250,0,1192,0,70,0,8,0.6216504945098942,612
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,3500022.24,2980929.06,3269862.00,2130,0,845,0,5116,0,1049,0,27,0.961615591870849,9660
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2841017.34,1021165.46,1971033.00,816,0,195,0,1932,0,474,0,31,0.4891827663059839,6384
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,1267992.51,445305.81,1160421.00,583,0,169,0,1375,0,325,0,10,0.9369423834522304,2352
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1296177.43,789863.98,308977.94,514,0,208,0,1247,0,204,0,18,0.9457482355644725,1932
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,591353.47,399163.76,225930.53,287,0,148,0,889,0,149,0,15,0.9374833302665888,1104
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1320931.12,325095.98,338697.40,452,0,352,0,1235,0,198,0,16,0.9191419174263917,1548
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,9162006.08,0.00,0,3588,0,1453,0,7889,0,1565,45,0.9784595226603202,14484
